epoch,train_loss,train_dice,train_iou,train_precision,train_recall,train_tp,train_fp,train_fn,train_tn,learning_rate,val_loss,val_dice,val_iou,val_precision,val_recall,val_tp,val_fp,val_fn,val_tn,is_best,best_val_dice
1,0.9143894107001168,0.6626811772246273,0.4955296866676472,0.6190154018523683,0.7129749222734304,5016637,3087583,2019567,35751413,0.0001,0.7105059281984965,0.7740675323245977,0.6314112340889174,0.7348652785083215,0.817688065249372,1237835,446603,275988,7869974,True,0.7740675323245977
2,0.6080743047169277,0.8065184351535982,0.6757694956581882,0.7941458924248392,0.8192825998623965,5764601,1494268,1271556,37344775,0.0001,0.5453139972686768,0.825136082462076,0.7023248140867694,0.8179718611557373,0.8324269085619653,1260147,280428,253676,8036149,True,0.825136082462076
3,0.4740499782562256,0.8430858009499278,0.7287366700505318,0.8529554051447703,0.8334419878156327,5864152,1010946,1171913,37828189,0.0001,0.4098487671216329,0.8590812864181658,0.7529732628551078,0.8859239212064127,0.833817427797041,1262252,162534,251571,8154043,True,0.8590812864181658
4,0.3851508683817727,0.8684559755663765,0.7674964091662881,0.8743989004844517,0.8625932884731162,6070684,872010,967029,37965477,0.0001,0.43890092213948567,0.8281007179868379,0.7066313041546323,0.8161549041696283,0.8404014207737629,1272219,286577,241604,8030000,False,0.8590812864181658
5,0.3266349353109087,0.8785384072031812,0.7833869771787634,0.8937360781064372,0.8638489564009729,6076996,722546,957794,38117864,0.0001,0.30211925745010376,0.8771826022704327,0.7812335327580164,0.9151557565317255,0.8422351886581192,1274995,118205,238828,8198372,True,0.8771826022704327
6,0.2928400455202375,0.8882056450524353,0.7988938251933521,0.9002975404316701,0.8764342574040521,6168999,683179,869748,38153274,0.0001,0.30257059733072916,0.8776449861083131,0.7819673590312044,0.8789868593328422,0.8763072036823327,1326574,182634,187249,8133943,True,0.8776449861083131
7,0.25711157066481455,0.9024887824460115,0.8223048366260698,0.9168484478682023,0.8885719825618124,6250816,566904,783860,38273620,0.0001,0.3103709403673808,0.8662933918824699,0.764124850009397,0.8598078907676431,0.8728774764288824,1321382,215452,192441,8101125,False,0.8776449861083131
8,0.24992219746112823,0.8932569806904724,0.8071042374839245,0.9140191639352264,0.8734170842551188,6141558,577730,890086,38265826,0.0001,0.3139419722557068,0.837041592008745,0.7197519586745522,0.9134825640941509,0.7724060210473748,1169286,110745,344537,8205832,False,0.8776449861083131
9,0.23391366711684636,0.9020285100121209,0.8215409218158103,0.9088560224484014,0.8953028120658726,6300339,631825,736765,38206271,0.0001,0.29259762048721316,0.8656829128012399,0.7631754141507974,0.8856253817854152,0.8466187922894552,1281631,165517,232192,8151060,False,0.8776449861083131
10,0.21138826080730982,0.9114001760327347,0.8372224172435113,0.9254560532016519,0.8977648740084243,6315450,508699,719187,38331864,0.0001,0.2979414463043213,0.8691486737596816,0.7685790816103955,0.8654756220332778,0.872853034998147,1321345,205382,192478,8111195,False,0.8776449861083131
