task,role,path,sample_id,label,split,size_stratum,source_archive,source_member,sha256
classification,image,classification/bbps-0-1__00053206-b78e-4acd-b2ef-078130b71b26.jpg,00053206-b78e-4acd-b2ef-078130b71b26,bbps-0-1,fixture,,hyper-kvasir-labeled-images.zip,labeled-images/lower-gi-tract/quality-of-mucosal-views/bbps-0-1/00053206-b78e-4acd-b2ef-078130b71b26.jpg,4faaa0248a40bd4e6f06c45e30bf14eb201324cc0cd32e1f36c3cc57bd2d1947
classification,image,classification/bbps-2-3__000def01-69c7-4bab-a06c-8aee2b233b57.jpg,000def01-69c7-4bab-a06c-8aee2b233b57,bbps-2-3,fixture,,hyper-kvasir-labeled-images.zip,labeled-images/lower-gi-tract/quality-of-mucosal-views/bbps-2-3/000def01-69c7-4bab-a06c-8aee2b233b57.jpg,d2ff6cca6aba3fc7ebf44727f65dfcc0ead9f5b485e665ff2b46cfa87ca2bb06
classification,image,classification/cecum__000e3fee-7f5c-4819-9f9c-4c983b68888a.jpg,000e3fee-7f5c-4819-9f9c-4c983b68888a,cecum,fixture,,hyper-kvasir-labeled-images.zip,labeled-images/lower-gi-tract/anatomical-landmarks/cecum/000e3fee-7f5c-4819-9f9c-4c983b68888a.jpg,b7ff5052b53e0a4885a475b92e168f82aad1e98f9407983825d128348f36cacb
classification,image,classification/dyed-lifted-polyps__003ce964-69ef-4f91-92c7-c33835289c18.jpg,003ce964-69ef-4f91-92c7-c33835289c18,dyed-lifted-polyps,fixture,,hyper-kvasir-labeled-images.zip,labeled-images/lower-gi-tract/therapeutic-interventions/dyed-lifted-polyps/003ce964-69ef-4f91-92c7-c33835289c18.jpg,1970eff8fcfc82c374cb640f32d359ab76b8f3849fbd2556ea576d6257f09a84
classification,image,classification/dyed-resection-margins__0016b80d-1d3d-4fe0-ad7c-7a8e369352bb.jpg,0016b80d-1d3d-4fe0-ad7c-7a8e369352bb,dyed-resection-margins,fixture,,hyper-kvasir-labeled-images.zip,labeled-images/lower-gi-tract/therapeutic-interventions/dyed-resection-margins/0016b80d-1d3d-4fe0-ad7c-7a8e369352bb.jpg,dfd2e7d89f1460ddb1a33f5decaf08a21f7453f2fd1b70bd59c82b9ebfd70c39
classification,image,classification/esophagitis-a__029e4210-dcc0-4350-92e4-9bd075ca31df.jpg,029e4210-dcc0-4350-92e4-9bd075ca31df,esophagitis-a,fixture,,hyper-kvasir-labeled-images.zip,labeled-images/upper-gi-tract/pathological-findings/esophagitis-a/029e4210-dcc0-4350-92e4-9bd075ca31df.jpg,4ca6ab8f1cc22dedf09c07d59cee02a409cf3a836dfea49cc35216b897db53f7
classification,image,classification/esophagitis-b-d__018fc250-a81a-41c0-83af-0521dc455d26.jpg,018fc250-a81a-41c0-83af-0521dc455d26,esophagitis-b-d,fixture,,hyper-kvasir-labeled-images.zip,labeled-images/upper-gi-tract/pathological-findings/esophagitis-b-d/018fc250-a81a-41c0-83af-0521dc455d26.jpg,60fc0805360ffe3a5504f5718c4d5a1aeac525b0736099624f50362aac85ab86
classification,image,classification/impacted-stool__011b9803-a7bb-4278-8cd8-44c53dd2508a.jpg,011b9803-a7bb-4278-8cd8-44c53dd2508a,impacted-stool,fixture,,hyper-kvasir-labeled-images.zip,labeled-images/lower-gi-tract/quality-of-mucosal-views/impacted-stool/011b9803-a7bb-4278-8cd8-44c53dd2508a.jpg,90b16f0d0b442bea98bb346e1d0e8954f9cf8064c36f6d801fd32e41e91c102a
classification,image,classification/polyps__0004a718-546c-41c2-9c69-c4685093a039.jpg,0004a718-546c-41c2-9c69-c4685093a039,polyps,fixture,,hyper-kvasir-labeled-images.zip,labeled-images/lower-gi-tract/pathological-findings/polyps/0004a718-546c-41c2-9c69-c4685093a039.jpg,72c6504558644481599593616bab01009b97b2dfa71a95abb8635a8aff334414
classification,image,classification/pylorus__000cd4cc-0e53-46e5-ba6c-bdcdb8e5b20e.jpg,000cd4cc-0e53-46e5-ba6c-bdcdb8e5b20e,pylorus,fixture,,hyper-kvasir-labeled-images.zip,labeled-images/upper-gi-tract/anatomical-landmarks/pylorus/000cd4cc-0e53-46e5-ba6c-bdcdb8e5b20e.jpg,fe2b7f587050b7131a0941682eaafddbc39e1cef15be686c93908f79836c4c56
classification,image,classification/retroflex-rectum__02a52e87-412c-4a86-b7af-5f06bb429bc7.jpg,02a52e87-412c-4a86-b7af-5f06bb429bc7,retroflex-rectum,fixture,,hyper-kvasir-labeled-images.zip,labeled-images/lower-gi-tract/anatomical-landmarks/retroflex-rectum/02a52e87-412c-4a86-b7af-5f06bb429bc7.jpg,d0845127242beada532c05179f5a3ce08d0385b7e28195d0ab577ecbcdded020
classification,image,classification/retroflex-stomach__005f1aa1-cfc7-4a68-b7d3-080eea906784.jpg,005f1aa1-cfc7-4a68-b7d3-080eea906784,retroflex-stomach,fixture,,hyper-kvasir-labeled-images.zip,labeled-images/upper-gi-tract/anatomical-landmarks/retroflex-stomach/005f1aa1-cfc7-4a68-b7d3-080eea906784.jpg,66a06ffbc1b3e1b8df87c5a83a369e62710c25e034bc1f035ae80a590555290d
classification,image,classification/ulcerative-colitis-grade-1__04716ed9-4ce3-488a-ae00-43df139ca3b5.jpg,04716ed9-4ce3-488a-ae00-43df139ca3b5,ulcerative-colitis-grade-1,fixture,,hyper-kvasir-labeled-images.zip,labeled-images/lower-gi-tract/pathological-findings/ulcerative-colitis-grade-1/04716ed9-4ce3-488a-ae00-43df139ca3b5.jpg,7588be85f641737fd32c556d7cc55f1fd4ecff2ea5eef6c20eef5d35070ad5e9
classification,image,classification/ulcerative-colitis-grade-2__007bcee7-a272-4e74-b10d-78d4d7816678.jpg,007bcee7-a272-4e74-b10d-78d4d7816678,ulcerative-colitis-grade-2,fixture,,hyper-kvasir-labeled-images.zip,labeled-images/lower-gi-tract/pathological-findings/ulcerative-colitis-grade-2/007bcee7-a272-4e74-b10d-78d4d7816678.jpg,12afa5138055c23b3290dcab26e53df0f1fbc1672921ee9665b30a10e9f42ade
classification,image,classification/ulcerative-colitis-grade-3__005d713e-b761-4c4e-b1f2-c8f3cd2f86e5.jpg,005d713e-b761-4c4e-b1f2-c8f3cd2f86e5,ulcerative-colitis-grade-3,fixture,,hyper-kvasir-labeled-images.zip,labeled-images/lower-gi-tract/pathological-findings/ulcerative-colitis-grade-3/005d713e-b761-4c4e-b1f2-c8f3cd2f86e5.jpg,ebbc37c7a1d84d1b6d0800847ce3dc7f73081a8af3ae344e9ab0f55b858e1e56
classification,image,classification/z-line__001dcfa9-0cac-4b07-9cec-bc70944cd4d3.jpg,001dcfa9-0cac-4b07-9cec-bc70944cd4d3,z-line,fixture,,hyper-kvasir-labeled-images.zip,labeled-images/upper-gi-tract/anatomical-landmarks/z-line/001dcfa9-0cac-4b07-9cec-bc70944cd4d3.jpg,179d6db94e31fa02a5c62d6b8473a9e40bed3f1a5bafc8015c2aa4ac63209c3d
segmentation,image,segmentation/images/5514c1b0-6367-41ed-aafd-4444290904c4.jpg,5514c1b0-6367-41ed-aafd-4444290904c4,polyp,validation,medium,hyper-kvasir-segmented-images.zip,segmented-images/images/5514c1b0-6367-41ed-aafd-4444290904c4.jpg,d1b8c949b41d4709b670aabc023bc3fdd71dfa6e618b0318e0dafd26bb96af27
segmentation,mask,segmentation/masks/5514c1b0-6367-41ed-aafd-4444290904c4.jpg,5514c1b0-6367-41ed-aafd-4444290904c4,polyp,validation,medium,hyper-kvasir-segmented-images.zip,segmented-images/masks/5514c1b0-6367-41ed-aafd-4444290904c4.jpg,ef937712d45fbbcf05ec1830b2f785a6e59ebe4cddad02e206a02f8e700aba25
segmentation,image,segmentation/images/af98182d-f813-4eea-a7a7-6054b1a311f3.jpg,af98182d-f813-4eea-a7a7-6054b1a311f3,polyp,validation,large,hyper-kvasir-segmented-images.zip,segmented-images/images/af98182d-f813-4eea-a7a7-6054b1a311f3.jpg,5b47f15183f148249a75b08a1c7171d3b9d30c659cf510cafce9dd6d02c35c32
segmentation,mask,segmentation/masks/af98182d-f813-4eea-a7a7-6054b1a311f3.jpg,af98182d-f813-4eea-a7a7-6054b1a311f3,polyp,validation,large,hyper-kvasir-segmented-images.zip,segmented-images/masks/af98182d-f813-4eea-a7a7-6054b1a311f3.jpg,ae9683943607aca2b61ec229d6ef71ffff4f7a844133b6f27fb21401d5381748
segmentation,image,segmentation/images/bb452e89-3432-44a0-ab0a-04f1335ba6c9.jpg,bb452e89-3432-44a0-ab0a-04f1335ba6c9,polyp,validation,small,hyper-kvasir-segmented-images.zip,segmented-images/images/bb452e89-3432-44a0-ab0a-04f1335ba6c9.jpg,3993dde5644d747cf288e8a69984c8e9268035e6b8b1fe742a29e725d9cf58bb
